A=9046 B=9901 C=9072 X=167764763 Y=5227605436 Z=45968984442 M=2329
A=9954 B=8200 C=6770 X=648515908 Y=2057423904 Z=87563762918 M=5649
A=6440 B=6520 C=8290 X=447459664 Y=4589332331 Z=19394932573 M=2920
A=2097 B=5638 C=5045 X=721969862 Y=3657681827 Z=69197437525 M=5860
A=8667 B=4695 C=9976 X=219791080 Y=4237376602 Z=31333072681 M=2607
A=9126 B=4246 C=7818 X=961056085 Y=9169421560 Z=58082152730 M=9209
A=3260 B=9367 C=7059 X=323726234 Y=4629202129 Z=91528246963 M=5316
A=5033 B=9085 C=8377 X=489112102 Y=8554311655 Z=36525030943 M=3666
A=8902 B=9272 C=9935 X=574524915 Y=4450821268 Z=28739040268 M=5844
A=9133 B=6982 C=9504 X=621548191 Y=6887165295 Z=51253249868 M=7363
A=2773 B=9552 C=9977 X=589650423 Y=9557392558 Z=87068219901 M=6514
A=9753 B=4622 C=7970 X=856099638 Y=9396439906 Z=57871791963 M=9043
A=3453 B=4428 C=7267 X=698106096 Y=5727980240 Z=59003984179 M=3332
A=4849 B=8827 C=9013 X=119386943 Y=8458851849 Z=92298119612 M=3784
A=4741 B=6278 C=6821 X=492865503 Y=5298661804 Z=14146203498 M=1858
A=4255 B=9439 C=9829 X=193101037 Y=7235129845 Z=17216297249 M=3679
A=5949 B=7461 C=6611 X=999114645 Y=4216373889 Z=22489873869 M=7353
A=2265 B=3814 C=8799 X=379637319 Y=1081338376 Z=37122220018 M=7961
A=3228 B=7045 C=8917 X=845335878 Y=5280648735 Z=40418709085 M=8121
A=3243 B=4452 C=8393 X=483026955 Y=2767094607 Z=90316666510 M=6484
A=6541 B=8814 C=9573 X=739947487 Y=3343676619 Z=18871069824 M=2483
A=5635 B=5932 C=7623 X=287191007 Y=4088523969 Z=15204889399 M=9089
A=5378 B=6301 C=6734 X=411565355 Y=3366988759 Z=22948453509 M=9532
A=8160 B=4626 C=5033 X=913222488 Y=4038453330 Z=39505907985 M=2424
A=3272 B=9347 C=8139 X=783451910 Y=9288208271 Z=86958227269 M=9057
A=8790 B=9647 C=6522 X=285735652 Y=4032305695 Z=43568166081 M=1578
A=7623 B=7709 C=7985 X=880701010 Y=4982619080 Z=73345775244 M=8726
A=9326 B=3536 C=5363 X=911546487 Y=7724381603 Z=81072896317 M=8211
A=7553 B=7347 C=5611 X=479270492 Y=8401101192 Z=67523013072 M=8427
A=6615 B=3354 C=6393 X=390313198 Y=4296257514 Z=65720371687 M=9828
A=6302 B=4142 C=9402 X=299464519 Y=4131468700 Z=10554896921 M=6056
A=9133 B=4980 C=6374 X=533085344 Y=9074871913 Z=31446294009 M=1053
A=4578 B=6046 C=5460 X=332825181 Y=8532999664 Z=88954541231 M=8955
A=2381 B=3302 C=6298 X=569434328 Y=9321846974 Z=55774349855 M=5831
A=9521 B=8926 C=5067 X=467169819 Y=6937785787 Z=63987831417 M=1068
A=4520 B=6195 C=5734 X=994674221 Y=6279480188 Z=33831760447 M=3925
A=9412 B=3826 C=9048 X=841907318 Y=1017361957 Z=51927413397 M=8202
A=9392 B=7217 C=9618 X=547351059 Y=4891046806 Z=94150923645 M=2572
A=6272 B=7194 C=9522 X=185571160 Y=8263144600 Z=20393226757 M=9134
A=9053 B=3986 C=8624 X=325281870 Y=8412413771 Z=67082646966 M=4044
A=9300 B=9071 C=7103 X=786416655 Y=7207389085 Z=76750920946 M=2683
A=4454 B=3051 C=5574 X=498698296 Y=6565034875 Z=27455304743 M=2164
A=4818 B=8190 C=7379 X=607785884 Y=1970265410 Z=41743321825 M=7365
A=2325 B=4122 C=8567 X=930213079 Y=5470214780 Z=32961796578 M=4654
A=9897 B=5620 C=7695 X=242992902 Y=7996489935 Z=29422658381 M=9623
A=9662 B=7446 C=6711 X=511477767 Y=8286994973 Z=29940541323 M=6470
A=9094 B=8284 C=5612 X=170734859 Y=9289650744 Z=41409061736 M=5730
A=4148 B=8576 C=6752 X=847607230 Y=7985026443 Z=91942002450 M=9679
A=3024 B=7893 C=7050 X=140736875 Y=3566846584 Z=67398568847 M=5111
A=3376 B=8180 C=6023 X=804404380 Y=4031509326 Z=83625403786 M=1659
A=5390 B=5584 C=7223 X=938176240 Y=8718672238 Z=49098605536 M=8855
A=9755 B=7590 C=5355 X=670990201 Y=9763197098 Z=47933641838 M=1874
A=7003 B=9510 C=8417 X=535481929 Y=7391938001 Z=94002498448 M=3213
A=8108 B=3584 C=5555 X=346011239 Y=2997229876 Z=43993826931 M=2334
A=3388 B=4158 C=7979 X=166084361 Y=6181767478 Z=73600245241 M=8908
A=7524 B=5919 C=5421 X=730053097 Y=3356890833 Z=49036037666 M=4013
A=6775 B=3819 C=6307 X=566763006 Y=9527776108 Z=50445378580 M=3490
A=4104 B=6708 C=6490 X=353739314 Y=6463197604 Z=38024815288 M=4934
A=9360 B=8218 C=5543 X=616286701 Y=5389821523 Z=50530063728 M=3497
A=3131 B=7084 C=7672 X=208481937 Y=9048098447 Z=42284506447 M=7437
A=8569 B=6348 C=5905 X=920202358 Y=3469225145 Z=81429448755 M=3779
A=3209 B=8622 C=7584 X=943778924 Y=5637594450 Z=47583151734 M=6604
A=9327 B=5231 C=9087 X=256597015 Y=2016778715 Z=21574045975 M=7786
A=3364 B=7515 C=8483 X=448204385 Y=9787089370 Z=39058797436 M=7552
A=6987 B=3701 C=7372 X=563636576 Y=1327741495 Z=65406430886 M=9389
A=6263 B=8960 C=7206 X=283165050 Y=7135630111 Z=49529505205 M=6331
A=4242 B=7580 C=7183 X=724178800 Y=7118428270 Z=60265097996 M=3705
A=6077 B=4284 C=9179 X=953060657 Y=5597256987 Z=18805058181 M=7425
A=3083 B=7421 C=5477 X=797666668 Y=1034454854 Z=53031853324 M=5994
A=8604 B=6439 C=9858 X=175049321 Y=8787093691 Z=34869976627 M=3837
A=4000 B=8271 C=6288 X=245193707 Y=6638717815 Z=60919501674 M=9928
A=3597 B=4964 C=9711 X=417345152 Y=6841554360 Z=86232838660 M=8308
A=5121 B=9218 C=5955 X=561500023 Y=3595950520 Z=34087174172 M=7499
A=7321 B=6613 C=9776 X=410714066 Y=5954695210 Z=40728758387 M=1071
A=9681 B=4570 C=9050 X=210546598 Y=8308331860 Z=57975923654 M=1498
A=6018 B=3073 C=7039 X=373474796 Y=6106242846 Z=85398136239 M=9583
A=7597 B=3850 C=6929 X=536899429 Y=3687480502 Z=59356670250 M=4560
A=5050 B=7258 C=7372 X=582309168 Y=3424000927 Z=90201139529 M=3751
A=4946 B=8901 C=7474 X=844217332 Y=8080883868 Z=88666566620 M=5445
A=7411 B=9507 C=8185 X=154278866 Y=7408434105 Z=11014223983 M=8573
A=8817 B=4969 C=8452 X=169322965 Y=6695106532 Z=22516911740 M=3298
A=2107 B=3184 C=6189 X=598244949 Y=5334087567 Z=23100797152 M=8169
A=6127 B=3770 C=6535 X=755768765 Y=1600474652 Z=77237805493 M=2623
A=3353 B=8245 C=7236 X=296551579 Y=1558406134 Z=81839530800 M=2534
A=5323 B=6189 C=5504 X=438424586 Y=9087611433 Z=31705352628 M=3670
A=2277 B=8902 C=6150 X=102138817 Y=4072339421 Z=13724769520 M=3749
A=5942 B=8621 C=5363 X=873479608 Y=6573768007 Z=16829176577 M=4286
A=5357 B=8983 C=5573 X=496035573 Y=7954320456 Z=23771381912 M=9137
A=2457 B=8097 C=7952 X=693762409 Y=9679012557 Z=78934791090 M=1353
A=8844 B=7581 C=8024 X=788956758 Y=3189053040 Z=49812057098 M=6429
A=5955 B=4451 C=6310 X=187533336 Y=2008707874 Z=52710827663 M=6897
A=6752 B=4200 C=8178 X=417388288 Y=5539054168 Z=32456304143 M=7500
A=8327 B=5808 C=5400 X=267995637 Y=7693102168 Z=49948477168 M=4383
A=3266 B=7415 C=5499 X=521199096 Y=6328631267 Z=48397379991 M=4732
A=5047 B=3051 C=8080 X=229634726 Y=5473803524 Z=30706420417 M=4784
A=2113 B=9688 C=6176 X=975157115 Y=2125219197 Z=17854818454 M=8005
A=9636 B=3178 C=5798 X=270520800 Y=1362814710 Z=84512649954 M=8760
A=4589 B=3162 C=9803 X=829826605 Y=3599586240 Z=28474039784 M=5924
A=9073 B=7075 C=9526 X=542354410 Y=4013280013 Z=69743694362 M=2698
A=5809 B=3337 C=9720 X=313503603 Y=8517006957 Z=93492747876 M=4313
A=4809 B=4962 C=8478 X=283348215 Y=5167778931 Z=62226184777 M=2100
A=8718 B=7243 C=7845 X=611592397 Y=5406246416 Z=17300633542 M=6043
A=8428 B=9008 C=8771 X=173776934 Y=4644390888 Z=62288769726 M=4509
A=2759 B=6840 C=5184 X=909570638 Y=5843865659 Z=68972556339 M=8368
A=6069 B=7567 C=5915 X=411257515 Y=4262206896 Z=35307841181 M=7210
A=4892 B=4651 C=8041 X=421846507 Y=2170386039 Z=60126776907 M=4710
A=9750 B=8685 C=8624 X=165879745 Y=3157572995 Z=63384805708 M=5663
A=5078 B=9656 C=8174 X=869776740 Y=8284904685 Z=50172711225 M=2074
A=5796 B=7755 C=8776 X=109909027 Y=8087372049 Z=37262134857 M=8449
A=7736 B=6544 C=9409 X=144494996 Y=6713998455 Z=85492880644 M=2990
A=3319 B=6120 C=7281 X=948197979 Y=2636196904 Z=82829000487 M=7202
A=8669 B=9311 C=9335 X=219457916 Y=3771638965 Z=24030543637 M=6146
A=4755 B=6707 C=6845 X=221395939 Y=6909870228 Z=12584550678 M=3488
A=6647 B=7202 C=6311 X=526158793 Y=9221320426 Z=44620819591 M=6660
A=3217 B=7683 C=6073 X=650961299 Y=2033533207 Z=69142948923 M=4475
A=8542 B=7146 C=5033 X=649020446 Y=9420327385 Z=43100472232 M=4481
A=4288 B=3990 C=9704 X=814187992 Y=4721932052 Z=62940728802 M=7069
A=2454 B=5084 C=9984 X=444295186 Y=6244533152 Z=64102620936 M=3435
A=4722 B=7472 C=9235 X=504401046 Y=9133093046 Z=74133543687 M=5293
A=4789 B=8783 C=7400 X=658398563 Y=5660207677 Z=34646352837 M=9821
A=7670 B=9527 C=9668 X=959299932 Y=5725488635 Z=58879576773 M=7729
A=3480 B=5663 C=6113 X=807270573 Y=8414222526 Z=87737166785 M=4195
A=8152 B=5046 C=6332 X=326648029 Y=6271454452 Z=86383654565 M=1788
A=5462 B=3626 C=6092 X=217638785 Y=3458950254 Z=78451282235 M=2577
A=3249 B=9923 C=8801 X=867201118 Y=9538933127 Z=44394782128 M=2637
A=4809 B=3352 C=6339 X=770630493 Y=3773308730 Z=96271754716 M=7387
A=9240 B=7098 C=8187 X=620848254 Y=4676129084 Z=88367918732 M=9311
A=6317 B=5627 C=7297 X=816667104 Y=2074150330 Z=27076908747 M=6437
A=8765 B=6026 C=6068 X=484586837 Y=8952026619 Z=92597624967 M=7306
A=3847 B=8210 C=6029 X=719767624 Y=4323765053 Z=81906156894 M=8962
A=3584 B=5876 C=9956 X=474408289 Y=9256810841 Z=53687294908 M=3654
A=4092 B=5614 C=5775 X=498606819 Y=5081219528 Z=84154456941 M=2218
A=4929 B=7636 C=7490 X=980889389 Y=9371918492 Z=52789074521 M=9700
A=8679 B=7869 C=9457 X=483980537 Y=5564281797 Z=64022933955 M=1246
A=5814 B=9633 C=8460 X=819161670 Y=1966326950 Z=59334615745 M=9791
A=5926 B=3509 C=8888 X=924288188 Y=7399140971 Z=78953075197 M=4188
A=5207 B=4568 C=8028 X=634252666 Y=3780681221 Z=32268987718 M=6818
A=6370 B=8213 C=6533 X=782124317 Y=9383718165 Z=38804968254 M=5317
A=4756 B=7019 C=7205 X=343712751 Y=2987577790 Z=98027760641 M=8871
A=2261 B=4352 C=7514 X=336388181 Y=9842161582 Z=51785671279 M=1430
A=7227 B=4592 C=5982 X=686991125 Y=4252003237 Z=43224643641 M=6726
A=8030 B=8593 C=8114 X=931961415 Y=5777183300 Z=23000541552 M=5224
A=5753 B=5296 C=7217 X=490045155 Y=6455225787 Z=71456308648 M=5961
A=4151 B=5938 C=9959 X=348391597 Y=5569927315 Z=97395093562 M=6446
A=7732 B=5836 C=8138 X=286671001 Y=2125056267 Z=69808721115 M=3657
A=3930 B=3270 C=8518 X=664574256 Y=5320027097 Z=31080913336 M=5607
A=3411 B=7902 C=8664 X=888855128 Y=5956783124 Z=34805056908 M=5467
A=7861 B=8282 C=7449 X=488410078 Y=6421670754 Z=61575377073 M=8862
A=8219 B=8470 C=6192 X=655635684 Y=2582050305 Z=70988788044 M=8382
A=5316 B=6285 C=7987 X=783963832 Y=4382496295 Z=47161702643 M=3616
A=3832 B=9819 C=5056 X=520637642 Y=2056857017 Z=28944624780 M=8015
A=7874 B=6657 C=8509 X=970129458 Y=3906489688 Z=48366395300 M=5328
A=9547 B=3578 C=9122 X=383812097 Y=5467135892 Z=70664815666 M=5526
A=3024 B=4527 C=8531 X=731758511 Y=7723520151 Z=34595360771 M=8573
A=4755 B=6922 C=7883 X=151460920 Y=4561486433 Z=74565578177 M=3954
A=6393 B=8609 C=7288 X=315686627 Y=2426700352 Z=60749954365 M=9582
A=3172 B=9555 C=7467 X=468139847 Y=3214558977 Z=43154597554 M=4843
A=7309 B=5933 C=8786 X=630532596 Y=5421908053 Z=13218606114 M=2946
A=6945 B=9675 C=5213 X=130595240 Y=8448294829 Z=31120715430 M=5149
A=6541 B=9723 C=9832 X=444785147 Y=1602615250 Z=42088804987 M=7774
A=6890 B=9709 C=6269 X=952759959 Y=4548666880 Z=42891003132 M=6079
A=2485 B=8515 C=6084 X=339131181 Y=1858458558 Z=62362332897 M=3224
A=7448 B=5236 C=5226 X=474836129 Y=5033598140 Z=45840882941 M=2947
A=4520 B=6439 C=5654 X=325765215 Y=2296786485 Z=52611728314 M=2471
A=9567 B=9687 C=7193 X=687442512 Y=1378937894 Z=11524905036 M=9130
A=7372 B=9718 C=8044 X=881436470 Y=3015937816 Z=39545222569 M=2792
A=8099 B=8645 C=9821 X=519940888 Y=5149101623 Z=73555134342 M=8386
A=6279 B=3058 C=8586 X=829966757 Y=5697929605 Z=90951889805 M=4411
A=3550 B=5369 C=6938 X=576858589 Y=8545914049 Z=32981979615 M=1677
A=3641 B=9567 C=8211 X=793371285 Y=2188172432 Z=44745989704 M=8508
A=6737 B=4694 C=5509 X=161487824 Y=9192999522 Z=15938120097 M=5857
A=6436 B=3005 C=7531 X=487425907 Y=1073109153 Z=23981202981 M=6318
A=7813 B=6016 C=5384 X=164416371 Y=5168005818 Z=56474960294 M=8284
A=6162 B=8097 C=5807 X=552185023 Y=7673332972 Z=39532284736 M=4630
A=3002 B=4871 C=6561 X=157613734 Y=4980432213 Z=51847222056 M=6136
A=8261 B=5140 C=8567 X=207298910 Y=5540487010 Z=70719766735 M=5604
A=3128 B=4590 C=5360 X=376274546 Y=7961623135 Z=30730129567 M=5802
A=3290 B=7519 C=7529 X=996423428 Y=8676787977 Z=77211621377 M=2001
A=7302 B=3085 C=8338 X=358377216 Y=8161625084 Z=12338100143 M=9633
A=9227 B=7489 C=6389 X=747721771 Y=9609763959 Z=46785333508 M=8279
A=7220 B=6573 C=6825 X=609476609 Y=4343717582 Z=88817411042 M=1232
A=3616 B=3118 C=7092 X=645481395 Y=8725342150 Z=19563996208 M=1271
A=6656 B=4197 C=6854 X=468670311 Y=4070653342 Z=42446888161 M=1533
A=5544 B=9211 C=6276 X=444537114 Y=3968923643 Z=89672412650 M=4052
A=7844 B=8386 C=8130 X=479409495 Y=6776468955 Z=92568840929 M=7567
A=4557 B=6060 C=6943 X=197850421 Y=8508183779 Z=16826845628 M=7450
A=4133 B=9270 C=6381 X=216014439 Y=4822005450 Z=77693087683 M=6380
A=2761 B=4795 C=5590 X=667369065 Y=9880019751 Z=25768520428 M=9757
A=7141 B=5493 C=6361 X=708123508 Y=4507892105 Z=48701466404 M=6135
A=4756 B=3417 C=8499 X=665517244 Y=7018962279 Z=81577224931 M=8746
A=6344 B=9646 C=7098 X=710981612 Y=4792897699 Z=13266464554 M=9182
A=9404 B=6343 C=6472 X=898643463 Y=4522967067 Z=53504205703 M=9119
A=4107 B=8426 C=6327 X=357984472 Y=2449763114 Z=90306800849 M=9748
A=3598 B=6250 C=9240 X=944765051 Y=8979398354 Z=50342857806 M=2381
A=9218 B=9365 C=5657 X=711708160 Y=1979381774 Z=60938633494 M=1107
A=3289 B=8590 C=5356 X=207403673 Y=6211207757 Z=22968601010 M=8457
A=6890 B=4244 C=9275 X=863152007 Y=2125489493 Z=64397326926 M=7529
A=6411 B=5942 C=6810 X=919863824 Y=2627092092 Z=58124553467 M=4030
A=2148 B=7053 C=8768 X=749598039 Y=2836014716 Z=99215054794 M=9968
A=7375 B=4084 C=7540 X=456573721 Y=2643987724 Z=92737956769 M=4716
A=8749 B=3948 C=7462 X=211634342 Y=5976586241 Z=81788223002 M=8774
A=3894 B=8376 C=7151 X=645893619 Y=8796622420 Z=63178465102 M=6622
A=8169 B=3311 C=7532 X=145259651 Y=1816110263 Z=70715757746 M=6507
A=6253 B=4273 C=6749 X=867939212 Y=7209371218 Z=58820390284 M=5070
A=2107 B=4896 C=9345 X=598855728 Y=4894715955 Z=61412615940 M=8210
A=6158 B=5580 C=9160 X=742794746 Y=5376836123 Z=34045924147 M=6215
A=2333 B=9995 C=7389 X=438137212 Y=2325484830 Z=67597203755 M=1445
A=3984 B=9922 C=7170 X=933844180 Y=7836393327 Z=34951981875 M=8972
A=2952 B=9308 C=6654 X=674104395 Y=5511246895 Z=54998566493 M=9844
A=9926 B=6184 C=5081 X=390360076 Y=5930537191 Z=53457603459 M=7901
A=6868 B=8390 C=8513 X=218147955 Y=7079286297 Z=63629305705 M=9761
A=8030 B=7335 C=6221 X=225292139 Y=7723532817 Z=14272163675 M=2382
A=6414 B=3771 C=9059 X=512765760 Y=4415609644 Z=53462099414 M=6481
A=3971 B=3567 C=5508 X=759329645 Y=2795027172 Z=20831117620 M=4043
A=3125 B=6545 C=6071 X=227822095 Y=5915203106 Z=69328804822 M=6587
A=7660 B=6608 C=9048 X=865063606 Y=9358467325 Z=78428532260 M=5102
A=9761 B=3996 C=6236 X=991668011 Y=1515347049 Z=60941122560 M=8415
A=7877 B=4781 C=9667 X=478071158 Y=6237220795 Z=60002995642 M=9755
A=2050 B=5121 C=7436 X=975110654 Y=8555966931 Z=27398359194 M=4501
A=8702 B=3923 C=8142 X=277496620 Y=2331156298 Z=70821150953 M=7361
A=7994 B=4406 C=6628 X=502072988 Y=7547276919 Z=57188031077 M=6275
A=7762 B=9938 C=9058 X=843264236 Y=2510091047 Z=16296544850 M=1705
A=5097 B=6343 C=6069 X=582654214 Y=2828615321 Z=24909968068 M=6196
A=2355 B=9925 C=6101 X=548648155 Y=1704830947 Z=38004071119 M=5064
A=2323 B=5794 C=7664 X=321940747 Y=2826221329 Z=11214808048 M=3150
A=4863 B=4523 C=7332 X=795709918 Y=6303193064 Z=86702483462 M=4341
A=4877 B=3433 C=5149 X=209095171 Y=1514419402 Z=90661040092 M=1474
A=3926 B=4210 C=5956 X=647051647 Y=2268558831 Z=19547027745 M=8887
A=2953 B=6403 C=5440 X=390808259 Y=4588305498 Z=86931178324 M=8199
A=6947 B=3819 C=8132 X=581668360 Y=4191193923 Z=34023785575 M=5635
A=4580 B=6864 C=7222 X=599872187 Y=4574840253 Z=37547287967 M=6025
A=6112 B=8133 C=6164 X=830251108 Y=2261413834 Z=98003602731 M=9415
A=2800 B=6479 C=8263 X=231779324 Y=6706524111 Z=59346291891 M=1557
A=9383 B=6287 C=9823 X=218441091 Y=2473704395 Z=95890158518 M=6541
A=6643 B=5832 C=6233 X=867636966 Y=3443056446 Z=85218955331 M=5020
A=6142 B=9764 C=7478 X=102816281 Y=5491137620 Z=83956488526 M=9186
A=4594 B=9127 C=9580 X=716853266 Y=2792438101 Z=21737711844 M=9604
A=7412 B=6339 C=5260 X=968921062 Y=3870821132 Z=13357161698 M=9404
A=7442 B=4605 C=9498 X=403265459 Y=5344282316 Z=37876875081 M=6605
A=7069 B=9363 C=8321 X=878644849 Y=9246717176 Z=97342417115 M=1362
A=5695 B=4701 C=6916 X=605490983 Y=1111201549 Z=24465621538 M=1177
A=6863 B=5250 C=6734 X=586477266 Y=2675676429 Z=59470521506 M=8273
A=9518 B=4052 C=9977 X=899140895 Y=6691335048 Z=65295692361 M=4709
A=9048 B=9860 C=9166 X=263344301 Y=4970947734 Z=77903438421 M=1766
A=5213 B=8699 C=7908 X=268936550 Y=2297941707 Z=99805816946 M=6176
A=3948 B=6661 C=5319 X=632788653 Y=5917717409 Z=19464368685 M=9059
A=5686 B=9892 C=5109 X=636819289 Y=9359020429 Z=82145273331 M=9640
A=4188 B=5114 C=7577 X=598834408 Y=5854991192 Z=78700479248 M=9673
A=4240 B=4811 C=8893 X=768314137 Y=3590156106 Z=25586774115 M=6401
A=4904 B=4171 C=7138 X=725021876 Y=7397923944 Z=69409162462 M=1465
A=7290 B=9976 C=7316 X=260469863 Y=6654556600 Z=79604679720 M=2971
A=2260 B=8511 C=5371 X=143332515 Y=9213650294 Z=50609571556 M=1188
A=8900 B=7393 C=5502 X=897835079 Y=8566716143 Z=35921433673 M=1844
A=6676 B=6147 C=5462 X=488679502 Y=1079504547 Z=24825970144 M=4904
A=7377 B=6078 C=5384 X=128153343 Y=5039957288 Z=62047576415 M=9931
A=7392 B=4017 C=9105 X=240967921 Y=7762538541 Z=75541388444 M=4167
A=4994 B=8479 C=9954 X=564623480 Y=5131399553 Z=84445649140 M=6526
A=3974 B=3972 C=6332 X=118003688 Y=7598251545 Z=44481358921 M=3914
A=2027 B=7036 C=9328 X=518734411 Y=2674092314 Z=35490094270 M=8499
A=4217 B=3046 C=8969 X=285568689 Y=2707266531 Z=82807122196 M=6947
A=7726 B=8617 C=5077 X=187807480 Y=3476811653 Z=42897420495 M=8617
A=5522 B=6259 C=5846 X=143426486 Y=5538275580 Z=95069641210 M=7693
A=2793 B=9921 C=7544 X=648267190 Y=2202161822 Z=69196498387 M=3899
A=4216 B=9984 C=6787 X=731001333 Y=8185333305 Z=89147329347 M=9590
A=5364 B=7968 C=8429 X=512105088 Y=8954382033 Z=82326404893 M=5817
A=4720 B=8034 C=8493 X=745803494 Y=2770308884 Z=57616102710 M=2328
A=4282 B=3867 C=6741 X=700240043 Y=1716926159 Z=16763249696 M=6057
A=8749 B=5140 C=6567 X=639993282 Y=5767250015 Z=41792842119 M=3187
A=3602 B=7998 C=6476 X=149099826 Y=3384492068 Z=56289524654 M=4556
A=3169 B=5648 C=8434 X=982391292 Y=1793197180 Z=71461333037 M=6830
A=5988 B=4664 C=6506 X=246822592 Y=2955934698 Z=10060622289 M=3268
A=9711 B=8744 C=8018 X=274821307 Y=6277537740 Z=88608688383 M=1158
A=6321 B=7680 C=5289 X=312920339 Y=4857232990 Z=91713166097 M=9457
A=2997 B=8126 C=5041 X=257238774 Y=8239063057 Z=58613582611 M=1172
A=5880 B=5560 C=8474 X=488271815 Y=6285753819 Z=99804144402 M=2248
A=5007 B=3325 C=8779 X=901689327 Y=8175411006 Z=12225708069 M=6373
A=5675 B=7162 C=9512 X=987416859 Y=6471577415 Z=66352493162 M=9047
A=4809 B=8418 C=9606 X=812020271 Y=6451135056 Z=21324088741 M=6651
A=7699 B=6625 C=6290 X=888224624 Y=6771738124 Z=41984734347 M=1855
A=6637 B=5456 C=8783 X=803106159 Y=8111531507 Z=27219467677 M=3696
A=6936 B=9103 C=9842 X=225701236 Y=5561832519 Z=64044352980 M=7189
A=8590 B=3421 C=9551 X=805588683 Y=7931334942 Z=17798364140 M=8300
A=3380 B=3182 C=9783 X=100181137 Y=3579653444 Z=82470338801 M=3510
A=3218 B=6041 C=9709 X=659165574 Y=2167708882 Z=71667554785 M=4086
A=4122 B=5036 C=8575 X=689604147 Y=2217116842 Z=46435452384 M=3489
A=6614 B=3934 C=8242 X=118169949 Y=8845579808 Z=92901188992 M=1077
A=4481 B=4583 C=9548 X=348431331 Y=1240592214 Z=95457597990 M=6225
A=8115 B=7996 C=5170 X=380842614 Y=7024919961 Z=79303644511 M=9390
A=2324 B=3891 C=7129 X=218995577 Y=4115452178 Z=79085683098 M=2915
A=4093 B=4307 C=7757 X=820664790 Y=9343575090 Z=14899157652 M=1581
A=7418 B=9140 C=5610 X=570631732 Y=5775396027 Z=94042514301 M=5693
A=3590 B=8556 C=6362 X=922493526 Y=6594701950 Z=99433289690 M=3185
A=5294 B=8449 C=7913 X=398579502 Y=8767219458 Z=37872073046 M=9780
A=6515 B=3835 C=8345 X=512370823 Y=5674041894 Z=86337142771 M=8854
A=5063 B=3936 C=9113 X=664820200 Y=6384418611 Z=81418488575 M=7149
A=5010 B=9195 C=6052 X=668057111 Y=1895056264 Z=52044404343 M=7546
A=7008 B=5105 C=6184 X=173340000 Y=2186271644 Z=63939859278 M=7121
A=4910 B=4378 C=7472 X=164097333 Y=7761637458 Z=38519366800 M=2317
A=8541 B=8723 C=5616 X=843348932 Y=9612812993 Z=85369440521 M=9273
A=9991 B=5185 C=9685 X=396754976 Y=2629704260 Z=68893623517 M=1313
A=3087 B=4922 C=8083 X=142175769 Y=5249015116 Z=54250390942 M=7966
A=9501 B=9430 C=8797 X=802050891 Y=7468009494 Z=51879686392 M=8396
A=2939 B=8613 C=9915 X=567825910 Y=3750852245 Z=75383791375 M=4183
A=6935 B=8019 C=9462 X=766610013 Y=2210704404 Z=66498983814 M=9253
A=4964 B=6275 C=6265 X=544051501 Y=7750515496 Z=86146558660 M=6206
A=4306 B=8670 C=8791 X=912647797 Y=8717958345 Z=77240305778 M=2032
A=3167 B=4637 C=9066 X=241719533 Y=5036637982 Z=13384774771 M=3517
A=5244 B=9617 C=5073 X=791628347 Y=6307991804 Z=31887989501 M=9416
A=3363 B=5388 C=9970 X=209203921 Y=7483599756 Z=74839692938 M=8554
A=3818 B=5062 C=8548 X=815025428 Y=8354617379 Z=22595361701 M=8704
A=6768 B=3009 C=7203 X=295832263 Y=9348121662 Z=51740033628 M=7108
A=4940 B=6152 C=5026 X=623153024 Y=6700809646 Z=88961615750 M=4113
A=8744 B=3648 C=9366 X=487684487 Y=6445501810 Z=59397183644 M=1906
A=6316 B=9837 C=7989 X=232929999 Y=1289679165 Z=46120611157 M=6072
A=3695 B=5456 C=7019 X=789942923 Y=9894428570 Z=85516566280 M=7536
A=9637 B=3551 C=9200 X=344406035 Y=7297052447 Z=43758699727 M=4152
A=5015 B=7679 C=6461 X=866523676 Y=8132307005 Z=46085020233 M=2713
A=5123 B=9504 C=8626 X=972249671 Y=2565061632 Z=94761564102 M=9090
A=8539 B=9453 C=5961 X=965568873 Y=5861462516 Z=15840095087 M=4792
A=4797 B=6011 C=6787 X=342252649 Y=1117843927 Z=57380559836 M=6960
A=9571 B=6969 C=7525 X=821600609 Y=4816752659 Z=18749740698 M=2703
A=5256 B=6979 C=5333 X=813965778 Y=3007915514 Z=19234523804 M=9093
A=9384 B=7431 C=7674 X=542341489 Y=1688576706 Z=49365140941 M=5329
A=3601 B=6509 C=9003 X=552312099 Y=9320287494 Z=87255182849 M=6367
A=6430 B=8769 C=5250 X=352587867 Y=3043168908 Z=31514592150 M=1981
A=3957 B=7958 C=8948 X=607070233 Y=6203913097 Z=94787571923 M=8457
A=2466 B=6298 C=6002 X=953855921 Y=2223805593 Z=83861311978 M=7816
A=4515 B=8969 C=8819 X=499827040 Y=8292159567 Z=48791006949 M=5280
A=8160 B=8937 C=7699 X=160390166 Y=4262702501 Z=67295946339 M=4694
A=5503 B=3674 C=5059 X=708984603 Y=2107348731 Z=40953507394 M=7713
A=8739 B=9797 C=7846 X=835561073 Y=5285762500 Z=90753376030 M=8738
A=6193 B=8614 C=5499 X=936422929 Y=7429426889 Z=43096003578 M=2556
A=6301 B=6612 C=7449 X=672000410 Y=6154736003 Z=96132005288 M=3729
